1,737
4,617
5,723
8,553
11,525
14,547
16,633
21,555
25,669
26,597
27,575
28,555
31,551
39,641
40,595
41,559
44,551
46,611
48,583
50,529
53,547
55,569
57,585
58,605
59,625
60,567
64,731
66,523
67,685
69,537
71,685
72,593
76,631
77,513
82,529
85,745
91,603
92,617
94,499
96,639
97,533
99,525
100,623
102,595
107,507
109,665
111,589
114,761
115,667
117,627
118,629
121,579
124,589
127,519
128,641
129,655
130,559
133,571
141,597
142,547
146,547
150,585
152,577
154,527
155,501
158,645
159,615
162,519
164,729
165,579
166,545
167,641
175,549
177,527
179,591
181,617
190,527
191,609
194,581
196,527
197,513
199,721
201,509
202,643
206,607
208,581
209,617
212,633
217,591
218,521
221,689
225,535
226,631
227,623
228,561
229,529
236,529
237,677
238,617
239,629
240,583
243,541
247,603
249,629
250,567
251,601
254,571
255,659
258,559
261,553
263,589
266,613
267,555
268,489
273,691
275,611
277,595
279,573
280,557
285,611
286,545
289,519
290,607
291,689
295,599
298,639
299,569
